Kode MK,Nama Mata Kuliah,SKS
IF213002,Praktikum Algoritma dan Struktur Data,1.0
IF216001,Sistem Informasi,3.0
IF211001,Pengenalan Informatika,2.0
IF211002,Dasar Pemrograman,2.0
IF211006,Kalkulus I,3.0
IF211004,Fisika Dasar,2.0
IF212505,Pengetahuan Lingkungan,2.0
IF213003,Organisasi dan Arsitektur Komputer,3.0
IF215003,Jaringan Komputer,2.0
IF212001,Algoritma dan Pemrograman,3.0
IF214006,Probabilitas dan Statistika,3.0
IF217D01,Penggalian Data,3.0
IF217B02,Kriptografi,3.0
IF211003,Praktikum Dasar Pemrograman,1.0
IF211005,Praktikum Fisika Dasar,1.0
IF211007,Olahraga,2.0
IF214005,Praktikum Pemrograman Berorientasi Objek,1.0
IF214007,Strategi Algoritma,3.0
IF15710P,Sistem Cerdas,3.0
IF217A03,Sistem Informasi Lanjut,3.0
IF217B07,Forensika Digital,3.0
IF217A05,Visualisasi Data,3.0
IF217B06,Teknologi Grafika Komputer,3.0
IF217A04,Sistem Temu Kembali Informasi,3.0
IF217A07,Teknologi Basis Data,3.0
IF217D05,Pemrograman GameTeknologi Game,3.0
IF217C01,Perawatan Perangkat Lunak,3.0
IF214001,Basis Data,2.0
IF213006,Teori Bahasa dan Otomata,3.0
IF214002,Praktikum Basis Data,1.0
IF216005,Sistem Multimedia,2.0
IF216006,Praktikum Sistem Multimedia,1.0
IF217D03,Pengolahan Citra Digital,3.0
IF213004,Aljabar Linier,3.0
IF217B04,Keamanan Komputer dan Jaringan,3.0
IF217C02,Pemrograman Paralel,3.0
IF213005,Logika Komputasional,2.0
IF213001,Algoritma dan Struktur Data,3.0
IF214008,Sistem Operasi,2.0
IF217D02,Pembelajaran Mesin Lanjut,3.0
IF19102L,Praktikum Dasar Pemrograman,1.0
IF212003,Kalkulus II,3.0
IF212004,Matematika Diskrit,3.0
