Angkatan,Kode MK,Nama Mata Kuliah
20071,MAT8303,Matematika Diskrit
20071,705105,Kalkulus I
20071,705219,Algoritma dan Pemrograman
20071,705217,Aljabar Linier
20071,705325,Logika Informatika
20071,705431,Jaringan Komputer
20071,705107,Pengantar Teknologi Informasi
20071,705325,Logika Informatika
20071,705110,Pendidikan Pancasila dan Kewarganegaraan
20071,705325,Logika Informatika
20071,705431,Jaringan Komputer
20071,705106,Fisika Dasar
20071,705433,Sistem Teknologi Basis Data
20071,705105,Kalkulus I
20071,705107,Pengantar Teknologi Informasi
20071,705217,Aljabar Linier
20071,705218,Kalkulus II
20071,705431,Jaringan Komputer
20071,705537,Pemrograman Web II
20071,705605,Intelegensia Buatan
20071,IF8605,Intelegensia Buatan
20071,705325,Logika Informatika
20071,IF8404L,Praktikum Rekayasa Perangkat Lunak
20071,705105,Kalkulus I
20071,705436,Metode Numerik
20071,705605,Intelegensia Buatan
20071,705110,Pendidikan Pancasila dan Kewarganegaraan
20071,705107,Pengantar Teknologi Informasi
20071,IF8605,Intelegensia Buatan
20071,705217,Aljabar Linier
20071,705740,Kewirausahaan
20071,705218,Kalkulus II
20071,705325,Logika Informatika
20071,705101,AlQuran Dan Ilmu Tafsir
20071,705107,Pengantar Teknologi Informasi
20071,705214,Ilmu TauhidAqidah
20071,705105,Kalkulus I
20071,705219,Algoritma dan Pemrograman
20071,705217,Aljabar Linier
20071,705218,Kalkulus II
20071,705325,Logika Informatika
20071,705105,Kalkulus I
20071,705107,Pengantar Teknologi Informasi
20071,705217,Aljabar Linier
20071,705217,Aljabar Linier
20071,705107,Pengantar Teknologi Informasi
20071,705220,Komputer dan Masyarakat
20071,705217,Aljabar Linier
20071,705108,Kimia Dasar
20071,705327,Probabilitas dan Statistika
20071,705217,Aljabar Linier
20071,705105,Kalkulus I
20071,705217,Aljabar Linier
20071,705109,Pengetahuan Lingkungan
20071,705105,Kalkulus I
20071,705605,Intelegensia Buatan
20071,705325,Logika Informatika
20071,705534,Etika Profesi
20071,705105,Kalkulus I
20071,705217,Aljabar Linier
20071,705217,Aljabar Linier
20071,705217,Aljabar Linier
20071,705533,Riset Teknologi Informasi
20071,705105,Kalkulus I
20071,705325,Logika Informatika
20071,705217,Aljabar Linier
20071,705218,Kalkulus II
20071,705605,Intelegensia Buatan
20071,705107,Pengantar Teknologi Informasi
20071,IF8605,Intelegensia Buatan
20071,705107,Pengantar Teknologi Informasi
20071,705436,Metode Numerik
20071,705105,Kalkulus I
20071,705107,Pengantar Teknologi Informasi
20071,705219,Algoritma dan Pemrograman
20071,705105,Kalkulus I
20071,705108,Kimia Dasar
20071,705218,Kalkulus II
20071,705105,Kalkulus I
20071,705605,Intelegensia Buatan
20071,705108,Kimia Dasar
20071,705107,Pengantar Teknologi Informasi
20071,705106,Fisika Dasar
20071,705105,Kalkulus I
20071,705106,Fisika Dasar
20071,705108,Kimia Dasar
20071,705107,Pengantar Teknologi Informasi
20071,705220,Komputer dan Masyarakat
20071,705605,Intelegensia Buatan
20071,MAT8101,Kalkulus I
20071,705106,Fisika Dasar
20071,705325,Logika Informatika
20071,UN8208,Ilmu TauhidAqidah
20071,IF8605,Intelegensia Buatan
20071,IF8605,Intelegensia Buatan
20071,705325,Logika Informatika
20071,705106,Fisika Dasar
20071,705325,Logika Informatika
20071,705325,Logika Informatika
20071,705537,Pemrograman Web II
20071,705436,Metode Numerik
20071,705106,Fisika Dasar
20071,705328,Komunikasi Data
20071,705327,Probabilitas dan Statistika
20071,705330,Sistem Informasi
20071,705106,Fisika Dasar
20071,705330,Sistem Informasi
20071,705107,Pengantar Teknologi Informasi
20071,705325,Logika Informatika
20071,705431,Jaringan Komputer
20071,705430,Matematika Diskrit
20071,705433,Sistem Teknologi Basis Data
20071,705325,Logika Informatika
20071,705106,Fisika Dasar
20071,705219,Algoritma dan Pemrograman
20071,705106,Fisika Dasar
20071,705107,Pengantar Teknologi Informasi
20071,705436,Metode Numerik
20071,705431,Jaringan Komputer
20071,705430,Matematika Diskrit
20071,705436,Metode Numerik
20071,705433,Sistem Teknologi Basis Data
20071,705537,Pemrograman Web II
20071,705649,Sistem Informasi Geografis
20071,705106,Fisika Dasar
20071,705325,Logika Informatika
20071,705436,Metode Numerik
20071,705325,Logika Informatika
20071,MAT8304,Logika Informatika
20081,MAT8101,Kalkulus I
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,IF8301,Algoritma dan Struktur Data
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,IF8401L,Praktikum Basis Data
20081,EL8201,Dasar Rangkaian Elektrik
20081,IF8501,Sistem Basis Data
20081,IF8605,Intelegensia Buatan
20081,IF8703P,WirelessMobile Computing
20081,IF8801,Kewirausahaan dan Etika Bisnis
20081,IF8601L,Praktikum Jaringan Komputer Lanjut
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,FIS8101,Fisika Dasar
20081,IF8605,Intelegensia Buatan
20081,IF8603,Kriptografi
20081,IF8602,Pemrograman Internet
20081,IF8603L,Praktikum Kriptografi
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,UN8104,Bahasa Inggris
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,MAT8302,Matematika Teknik
20081,UN8104,Bahasa Inggris
20081,IF8605,Intelegensia Buatan
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,FIS8101,Fisika Dasar
20081,UN8104,Bahasa Inggris
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,IF8605,Intelegensia Buatan
20081,IF8507,Komunikasi Antar Personel
20081,FIS8101,Fisika Dasar
20081,FIS8101,Fisika Dasar
20081,IF8201,Dasar Pemrograman
20081,IF8201L,Praktikum Dasar Pemrograman
20081,FIS8101,Fisika Dasar
20081,MAT8101,Kalkulus I
20081,MAT8304,Logika Informatika
20081,UN8104,Bahasa Inggris
20081,IF8201,Dasar Pemrograman
20081,IF8201L,Praktikum Dasar Pemrograman
20081,IF8301,Algoritma dan Struktur Data
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,UN8104,Bahasa Inggris
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,UN8104,Bahasa Inggris
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,UN8104,Bahasa Inggris
20081,MAT8301,Probabilitas dan Statistika
20081,IF8605,Intelegensia Buatan
20081,IF8101,Pengantar Teknologi Informasi
20081,UN8104,Bahasa Inggris
20081,MAT8302,Matematika Teknik
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,IF8101,Pengantar Teknologi Informasi
20081,MAT8302,Matematika Teknik
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,MAT8304,Logika Informatika
20081,IF8605,Intelegensia Buatan
20081,IF8501,Sistem Basis Data
20081,UN8205,Hadits dan Ilmu Hadits
20081,MAT8101,Kalkulus I
20081,MAT8304,Logika Informatika
20081,IF8503,Sistem Informasi
20081,MAT8304,Logika Informatika
20081,IF8605,Intelegensia Buatan
20081,IF8601,Jaringan Komputer Lanjut
20081,EL8201,Dasar Rangkaian Elektrik
20081,UN8204,Filsafat dan Pengetahuan Lingkungan
20081,UN8205,Hadits dan Ilmu Hadits
20081,FIS8101,Fisika Dasar
20081,IF8401L,Praktikum Basis Data
20081,UN8103,Bahasa Indonesia
20081,UN8205,Hadits dan Ilmu Hadits
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,EKM8701,Pengantar Ekonomi Makro
20081,MAT8304,Logika Informatika
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,UN8205,Hadits dan Ilmu Hadits
20081,MAT8302,Matematika Teknik
20081,IF8703,Metode Penelitian
20081,IF8507,Komunikasi Antar Personel
20081,EL8201,Dasar Rangkaian Elektrik
20081,IF8605,Intelegensia Buatan
20081,IF8603,Kriptografi
20081,IF8603L,Praktikum Kriptografi
20081,IF8201,Dasar Pemrograman
20081,IF8201L,Praktikum Dasar Pemrograman
20081,MAT8201,Kalkulus II
20081,MAT8302,Matematika Teknik
20081,MAT8304,Logika Informatika
20081,MAT8302,Matematika Teknik
20081,MAT8201,Kalkulus II
20081,UN8301,Sejarah Peradaban Islam
20081,IF8403,Organisasi dan  Arsitektur Komputer
20081,IF8401L,Praktikum Basis Data
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,MAT8201,Kalkulus II
20081,MAT8303,Matematika Diskrit
20081,MAT8301,Probabilitas dan Statistika
20081,IF8605,Intelegensia Buatan
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20081,IF8703P,WirelessMobile Computing
20081,MAT8201,Kalkulus II
20081,MAT8301,Probabilitas dan Statistika
20081,EL8301,Teknik Dijital
20081,MAT8201,Kalkulus II
20081,IF8301,Algoritma dan Struktur Data
20081,MAT8302,Matematika Teknik
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,MAT8301,Probabilitas dan Statistika
20081,MAT8201,Kalkulus II
20081,IF8605,Intelegensia Buatan
20081,MAT8201,Kalkulus II
20081,MAT8304,Logika Informatika
20081,MAT8301,Probabilitas dan Statistika
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,MAT8201,Kalkulus II
20081,IF8401L,Praktikum Basis Data
20081,EL8301,Teknik Dijital
20081,MAT8304,Logika Informatika
20081,EL8301L,Praktikum Teknik Digital
20081,IF8201,Dasar Pemrograman
20081,MAT8201,Kalkulus II
20081,IF8201L,Praktikum Dasar Pemrograman
20081,MAT8201,Kalkulus II
20081,MAT8302,Matematika Teknik
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,IF8201,Dasar Pemrograman
20081,EL8201,Dasar Rangkaian Elektrik
20081,IF8201L,Praktikum Dasar Pemrograman
20081,IF8301,Algoritma dan Struktur Data
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,MAT8304,Logika Informatika
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,MAT8201,Kalkulus II
20081,MAT8101,Kalkulus I
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,EL8201,Dasar Rangkaian Elektrik
20081,FIS8101,Fisika Dasar
20081,IF8301,Algoritma dan Struktur Data
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,MAT8301,Probabilitas dan Statistika
20081,IF8201,Dasar Pemrograman
20081,IF8201L,Praktikum Dasar Pemrograman
20081,FIS8101,Fisika Dasar
20081,EL8201,Dasar Rangkaian Elektrik
20081,FIS8101,Fisika Dasar
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,MAT8302,Matematika Teknik
20081,IF8405,Teori Bahasa dan Otomata
20081,MAT8101,Kalkulus I
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,IF8301,Algoritma dan Struktur Data
20081,IF8301L,Praktikum Algoritma dan Struktur Data
20081,IF8403,Organisasi dan  Arsitektur Komputer
20081,IF8402L,Praktikum Pemrograman Berorientasi Objek
20081,IF8507,Komunikasi Antar Personel
20081,MAT8101,Kalkulus I
20081,EL8201,Dasar Rangkaian Elektrik
20081,MAN8601,Manajemen
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,IF8405,Teori Bahasa dan Otomata
20081,FIS8101,Fisika Dasar
20081,MAT8101,Kalkulus I
20081,FIS8101L,Praktikum Fisika Dasar
20081,IF8605,Intelegensia Buatan
20081,IF8605,Intelegensia Buatan
20081,MAT8101,Kalkulus I
20081,KIM8101,Kimia Dasar
20081,KIM8101L,Praktikum Kimia Dasar
20081,MAT8201,Kalkulus II
20081,IF8605,Intelegensia Buatan
20081,IF8605,Intelegensia Buatan
20081,FIS8101,Fisika Dasar
20081,MAT8101,Kalkulus I
20081,KIM8101L,Praktikum Kimia Dasar
20081,EL8201,Dasar Rangkaian Elektrik
20081,FIS8101,Fisika Dasar
20081,EL8201,Dasar Rangkaian Elektrik
20081,UN8101,AlQuran dan Ilmu Tafsir
20081,MAT8201,Kalkulus II
20081,MAT8302,Matematika Teknik
20081,FIS8101,Fisika Dasar
20081,FIS8101,Fisika Dasar
20081,UN8104,Bahasa Inggris
20081,IF8605,Intelegensia Buatan
20081,UN8101,AlQuran dan Ilmu Tafsir
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20081,IF8605,Intelegensia Buatan
20081,IF8601L,Praktikum Jaringan Komputer Lanjut
20081,FIS8101,Fisika Dasar
20081,EL8301L,Praktikum Teknik Digital
20081,EL8301,Teknik Dijital
20081,UN8101,AlQuran dan Ilmu Tafsir
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20081,UN8104,Bahasa Inggris
20081,MAT8201,Kalkulus II
20081,MAT8304,Logika Informatika
20081,MAT8302,Matematika Teknik
20081,IF8605,Intelegensia Buatan
20081,EL8201,Dasar Rangkaian Elektrik
20081,MAT8201,Kalkulus II
20081,IF8605,Intelegensia Buatan
20081,MAT8201,Kalkulus II
20081,IF8605,Intelegensia Buatan
20081,UN8205,Hadits dan Ilmu Hadits
20081,EL8301L,Praktikum Teknik Digital
20081,EL8301,Teknik Dijital
20081,IF8401L,Praktikum Basis Data
20081,MAT8201,Kalkulus II
20081,MAT8304,Logika Informatika
20081,UN8103,Bahasa Indonesia
20081,MAT8201,Kalkulus II
20081,MAT8304,Logika Informatika
20081,UN8101,AlQuran dan Ilmu Tafsir
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20081,MAT8101,Kalkulus I
20081,IF8605,Intelegensia Buatan
20081,IF8505,Jaringan Komputer
20081,IF8603L,Praktikum Kriptografi
20081,IF8401,Basis Data
20081,EL8201,Dasar Rangkaian Elektrik
20081,IF8401L,Praktikum Basis Data
20081,MAT8101,Kalkulus I
20081,MAT8201,Kalkulus II
20081,EL8201,Dasar Rangkaian Elektrik
20081,MAT8201,Kalkulus II
20081,MAT8201,Kalkulus II
20091,MAT8201,Kalkulus II
20091,MAT8101,Kalkulus I
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,MAT8303,Matematika Diskrit
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,EL8301,Teknik Dijital
20091,IF8502L,Praktikum Rekayasa Perangkat Lunak Lanjut
20091,IF8503,Sistem Informasi
20091,MAT8304,Logika Informatika
20091,EKT8801,Ekonomi Teknik
20091,MAT8201,Kalkulus II
20091,IF8201L,Praktikum Dasar Pemrograman
20091,IF8301,Algoritma dan Struktur Data
20091,MAT8304,Logika Informatika
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,FIS8101,Fisika Dasar
20091,KIM8101,Kimia Dasar
20091,FIS8101L,Praktikum Fisika Dasar
20091,KIM8101L,Praktikum Kimia Dasar
20091,KIM8101,Kimia Dasar
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,MAT8201,Kalkulus II
20091,MAT8302,Matematika Teknik
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,MAT8101,Kalkulus I
20091,EL8201,Dasar Rangkaian Elektrik
20091,MAT8201,Kalkulus II
20091,MAT8303,Matematika Diskrit
20091,IF8403,Organisasi dan  Arsitektur Komputer
20091,IF8502L,Praktikum Rekayasa Perangkat Lunak Lanjut
20091,IF8605,Intelegensia Buatan
20091,IF8601L,Praktikum Jaringan Komputer Lanjut
20091,UN8207,Ilmu Fiqih
20091,UN8208,Ilmu TauhidAqidah
20091,MAT8201,Kalkulus II
20091,MAT8303,Matematika Diskrit
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,UN8104,Bahasa Inggris
20091,IF8101,Pengantar Teknologi Informasi
20091,EL8201,Dasar Rangkaian Elektrik
20091,IF8301,Algoritma dan Struktur Data
20091,IF8101,Pengantar Teknologi Informasi
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,IF8603L,Praktikum Kriptografi
20091,IF8407,Grafika Komputer
20091,IF8702,Proyek Perangkat Lunak
20091,IF8801,Kewirausahaan dan Etika Bisnis
20091,MAT8201,Kalkulus II
20091,MAT8201,Kalkulus II
20091,IF8301,Algoritma dan Struktur Data
20091,MAT8304,Logika Informatika
20091,MAT8101,Kalkulus I
20091,IF8402,Pemrograman Berorientasi Objek
20091,EKT8801,Ekonomi Teknik
20091,KIM8101,Kimia Dasar
20091,KIM8101L,Praktikum Kimia Dasar
20091,EL8201,Dasar Rangkaian Elektrik
20091,IF8605,Intelegensia Buatan
